MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), Ozone (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3)
2019-01-27,42.15,220.6,285.1,1459.7,209.1,112.9
2019-01-28,499.75,986.6,1752.85,865.8,317.4,139.3
2019-01-29,1539.4,1802.9,4163.2,322.15,276.5,183.9
2019-01-30,1449.5,1308.0,3530.6,550.8,250.4,157.8
2019-01-31,3210.95,1645.9,6569.05,416.95,548.4,433.4
2019-02-01,91.5,709.65,850.2,1009.15,272.6,211.9
2019-02-02,84.5,547.3,676.6,986.6,362.2,277.2
2019-02-03,543.35,1281.4,2114.3,533.04,329.3,240.0
2019-02-04,1225.9,1314.15,3193.65,725.32,182.6,131.8
2019-02-05,1053.55,1368.9,2984.45,616.59,272.5,232.0
2019-02-06,895.41,1294.02,2666.65,674.71,201.5,129.4
2019-02-07,324.05,922.57,1420.0,1057.57,143.9,83.0
2019-02-08,273.64,896.21,1316.35,1127.44,152.45,96.15
2019-02-09,238.25,769.0,1134.4,1289.3,201.7,119.4
2019-02-10,160.85,737.85,984.5,1115.1,75.9,46.0
2019-02-11,741.0,1231.15,2367.4,580.15,249.5,118.9
2019-02-12,1288.77,1640.98,3616.85,285.35,273.3,189.9
2019-02-13,888.3,1529.65,2891.6,379.9,367.1,275.0
2019-02-14,2788.4,1844.65,6120.0,135.75,621.4,462.8
