MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), Ozone (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3)
2018-09-23,512.66,593.94,1189.61,314.4,301.3,169.0
2018-09-24,1139.94,999.97,2658.98,314.4,396.62,213.15
2018-09-25,1023.33,871.69,2394.05,314.4,396.8,220.2
2018-09-26,952.62,1150.02,2578.39,314.4,418.75,232.8
2018-09-27,1040.82,1252.36,2817.85,314.4,523.1,291.9
2018-09-28,658.28,726.56,1550.71,314.4,366.9,162.75
2018-09-29,921.38,1018.34,2363.81,314.4,486.35,272.0
2018-09-30,584.16,750.88,1485.11,314.4,368.55,200.35
2018-10-01,742.58,762.34,1726.51,314.4,315.83,175.0
2018-10-02,815.73,756.66,1834.09,314.4,290.25,140.65
2018-10-03,1121.79,920.89,2531.78,314.4,348.6,183.4
2018-10-04,789.97,649.37,1762.65,314.4,383.1,201.1
2018-10-05,1015.16,1036.71,2543.38,314.4,586.25,295.9
2018-10-06,563.23,676.19,1362.24,314.4,405.2,247.8
2018-10-07,553.29,753.58,1457.08,314.4,332.5,179.95
2018-10-08,673.44,832.92,1775.0,314.4,263.2,156.85
2018-10-09,679.36,902.08,1936.07,314.4,393.75,218.4
2018-10-10,1163.74,1438.47,3151.46,314.4,908.0,510.25
2018-10-11,347.86,516.39,876.05,314.4,372.9,169.75
2018-10-12,319.95,386.4,722.27,314.4,336.35,134.3
2018-10-13,310.45,414.69,726.06,314.4,346.35,156.95
2018-10-14,460.77,627.01,1125.11,314.4,270.65,128.7
2018-10-15,944.33,997.57,2278.56,314.4,440.38,187.2
2018-10-16,512.54,665.83,1315.79,314.4,444.62,226.35
2018-10-17,935.28,1026.41,2405.08,314.4,402.05,203.3
2018-10-18,812.06,1002.72,2082.24,314.4,399.02,186.8
2018-10-19,1723.28,1299.47,3926.22,314.4,576.2,309.6
2018-10-20,1269.33,1021.8,2968.62,314.4,665.15,435.2
