MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3)
2019-03-18,1099.53,1446.28,3132.35,483.8,178.0
2019-03-19,1006.62,1221.12,2764.32,520.1,273.0
2019-03-20,783.15,1017.48,2218.29,442.68,245.0
2019-03-21,1169.32,1264.78,3057.73,482.35,230.0
2019-03-22,992.58,1194.0,2715.75,472.55,330.0
2019-03-23,321.88,841.92,1335.35,455.8,322.0
2019-03-24,621.88,1170.8,2124.48,479.5,335.0
2019-03-25,419.72,930.68,1574.15,400.4,150.0
2019-03-26,1222.4,1670.6,3545.0,716.65,365.0
2019-03-27,1248.03,1752.88,3666.48,676.9,338.0
2019-03-28,1186.5,1711.78,3531.08,779.0,436.0
2019-03-29,1377.35,1869.32,3981.25,928.95,632.0
2019-03-30,975.87,1444.28,2940.35,1154.95,911.0
2019-03-31,86.45,460.0,592.25,789.8,574.0
2019-04-01,263.32,759.65,1163.38,573.7,220.0
2019-04-02,1070.62,1305.72,2947.38,689.35,415.0
2019-04-03,1462.45,1637.92,3880.42,551.6,317.0
2019-04-04,690.3,1012.6,2071.15,359.08,146.0
2019-04-05,427.5,884.53,1540.1,522.85,265.0
2019-04-06,153.1,643.35,877.98,538.25,392.0
2019-04-07,267.68,675.85,1086.38,1173.95,1036.0
2019-04-08,1154.68,1582.28,3352.38,1408.55,1057.0
2019-04-09,284.1,939.42,1374.88,1793.45,761.0
2019-04-10,171.6,534.0,797.3,482.5,238.0
