MeasurementDateGMT,Southwark - Elephant and Castle: Nitric Oxide (ug/m3),Southwark - Elephant and Castle: Nitrogen Dioxide (ug/m3),Southwark - Elephant and Castle: Oxides of Nitrogen (ug/m3),Southwark - Elephant and Castle: Ozone (ug/m3),Southwark - Elephant and Castle: PM10 Particulate (ug/m3)
2018-12-05,236.59999999999994,826.4999999999998,1189.1999999999996,617.8000000000001,311.70000000000005
2018-12-06,67.3,594.4,697.7000000000002,1014.0999999999999,264.5
2018-12-07,52.1,481.70000000000005,561.6,1270.0,246.39999999999998
2018-12-08,12.2,296.0,314.3,1527.6000000000001,359.00000000000006
2018-12-09,20.0,527.6,557.7,1227.8,207.59999999999997
2018-12-10,87.19999999999997,1018.2,1151.8999999999999,557.4,380.7
2018-12-11,1272.9,1470.4,3422.0,166.70000000000002,809.2
2018-12-12,208.1,915.9000000000002,1235.1999999999998,577.6000000000001,565.0999999999999
2018-12-13,437.95000000000005,1042.6000000000001,1714.3499999999997,231.10000000000002,639.9
2018-12-14,557.9000000000001,1078.8999999999999,1934.0,190.20000000000005,732.6
2018-12-15,106.6,569.7,733.2999999999998,636.1,524.4
2018-12-16,96.6,680.8,829.5,1050.5,381.6000000000001
2018-12-17,175.79999999999998,855.5999999999999,1125.4000000000003,782.5000000000001,429.59999999999997
2018-12-18,48.70000000000001,328.1,403.1,1280.6999999999998,390.0
2018-12-19,180.70000000000005,777.4,1054.5,1016.9999999999999,263.40000000000003
2018-12-20,92.3,628.4,769.8000000000001,1131.7999999999997,347.8
2018-12-21,32.3,357.70000000000005,407.09999999999997,1307.9999999999998,442.30000000000007
2018-12-22,26.7,468.3,508.70000000000005,1208.7,368.80000000000007
2018-12-23,48.300000000000004,520.8000000000001,595.0,939.0,200.7
2018-12-24,628.0,1179.7,2142.8,328.5,520.7
2018-12-25,974.4999999999998,1127.1,2621.6999999999994,253.20000000000002,551.5
2018-12-26,179.2,868.7999999999998,1144.3,356.90000000000003,461.19999999999993
2018-12-27,2862.2,1574.6,5963.000000000001,62.4,1029.0
