MeasurementDateGMT,London Teddington Bushy Park : PM10 Particulate (ug/m3),London Teddington Bushy Park : PM2.5 Particulate (ug/m3)
2020-03-07,385.3,281.30000000000007
2020-03-08,194.9,120.99999999999997
2020-03-09,211.70000000000002,124.80000000000005
2020-03-10,52.400000000000006,28.200000000000003
2020-03-11,101.59999999999998,59.0
2020-03-12,275.7,143.1
2020-03-13,297.29999999999995,161.3
2020-03-14,165.20000000000002,103.9
2020-03-15,148.4,98.0
2020-03-16,219.2,154.0
2020-03-17,247.3,149.6
2020-03-18,244.29999999999993,155.2
2020-03-19,319.5999999999999,269.5
2020-03-20,223.00000000000003,137.20000000000005
2020-03-21,322.3,175.70000000000002
2020-03-22,409.0,256.00000000000006
2020-03-23,416.29999999999995,288.40000000000003
2020-03-24,514.9,355.79999999999995
2020-03-25,660.7999999999998,509.6
2020-03-26,905.9,701.6000000000001
2020-03-27,958.1,738.4000000000001
2020-03-28,519.6999999999999,365.2
2020-03-29,321.2,153.8
2020-03-30,228.0,127.6
2020-03-31,318.90000000000003,181.3
2020-04-01,352.29999999999995,223.0
2020-04-02,248.70000000000005,135.7
2020-04-03,326.5,189.6
2020-04-04,342.50000000000006,236.90000000000003
2020-04-05,352.20000000000005,228.70000000000002
2020-04-06,256.5,151.8
2020-04-07,466.1,267.6
2020-04-08,1106.8,874.7
2020-04-09,1276.0,1082.9999999999998
2020-04-10,869.0000000000002,698.1
2020-04-11,759.5999999999999,481.3999999999999
2020-04-12,867.5000000000001,485.10000000000014
2020-04-13,345.59999999999997,192.60000000000002
2020-04-14,321.3,197.09999999999997
2020-04-15,557.3999999999999,396.49999999999994
2020-04-16,1132.6999999999998,867.0999999999999
2020-04-17,445.30000000000007,268.70000000000005
2020-04-18,494.7,357.89999999999986
2020-04-19,380.19999999999993,236.20000000000002
2020-04-20,512.4,225.89999999999998
2020-04-21,659.9999999999999,264.8
2020-04-22,685.1999999999999,346.69999999999993
2020-04-23,741.1000000000001,444.9
2020-04-24,726.3000000000001,493.6999999999999
2020-04-25,394.0,300.09999999999997
2020-04-26,442.0000000000001,257.40000000000003
2020-04-27,576.7,391.30000000000007
2020-04-28,148.29999999999998,114.6
2020-04-29,238.0,155.3
2020-04-30,204.70000000000005,99.6
2020-05-01,184.79999999999998,105.8
2020-05-02,131.2,80.39999999999999
2020-05-03,188.59999999999997,134.9
2020-05-04,281.2,196.30000000000004
2020-05-05,252.39999999999998,120.5
2020-05-06,365.0,221.69999999999996
2020-05-07,393.5999999999999,257.4
