MeasurementDateGMT,Enfield - Bowes Primary School: Nitric Oxide (ug/m3),Enfield - Bowes Primary School: Nitrogen Dioxide (ug/m3),Enfield - Bowes Primary School: Oxides of Nitrogen (ug/m3),Enfield - Bowes Primary School: PM10 Particulate (ug/m3)
2020-09-26,304.59999999999997,448.3,915.5999999999998,198.65000000000003
2020-09-27,180.0,357.59999999999997,633.5,190.10000000000002
2020-09-28,764.1,1021.3,2192.8,367.9
2020-09-29,1000.8000000000001,875.7,2410.4000000000005,500.19999999999993
2020-09-30,74.7,449.99999999999994,564.4000000000002,201.8
2020-10-01,302.5999999999999,772.1,1236.3000000000002,206.00000000000006
2020-10-02,282.35,675.4500000000002,1108.65,179.1
2020-10-03,90.4,437.69999999999993,576.5999999999999,233.75
2020-10-04,89.19999999999999,339.6000000000001,476.6,69.60000000000001
2020-10-05,304.80000000000007,651.5,1118.3000000000002,231.9
2020-10-06,277.19999999999993,536.9999999999999,961.8,149.20000000000002
2020-10-07,337.1,689.2,1206.6999999999998,232.79999999999998
2020-10-08,566.2,652.1,1520.7,209.2
2020-10-09,902.5999999999999,1018.7,2402.3,280.25
2020-10-10,413.6,734.5,1368.6,210.70000000000005
2020-10-11,702.6000000000001,758.6999999999999,1836.1999999999998,227.60000000000002
2020-10-12,531.7,774.8,1590.3000000000002,251.3
2020-10-13,767.1999999999997,754.5000000000001,1930.9,247.20000000000002
2020-10-14,369.70000000000005,613.2,1179.9999999999998,291.15000000000003
2020-10-15,457.55000000000007,629.65,1331.3500000000004,216.95
2020-10-16,694.1,873.0,1937.9,284.85
2020-10-17,605.2,947.6999999999998,1875.4999999999998,252.29999999999998
2020-10-18,753.1000000000001,990.5,2144.9,400.1
2020-10-19,191.89999999999998,719.4,1013.8999999999999,358.1
2020-10-20,35.70000000000001,424.2,478.7,345.00000000000006
2020-10-21,554.0999999999999,833.6000000000003,1683.1999999999996,244.5
2020-10-22,346.5,666.0,1197.3,265.15000000000003
2020-10-23,109.1,582.1,749.9,249.1
2020-10-24,144.0,408.2,628.4999999999997,160.3
2020-10-25,26.6,345.90000000000003,387.0,133.2
2020-10-26,224.0999999999999,764.9,1108.7,233.89999999999998
2020-10-27,160.20000000000002,701.3000000000001,946.9000000000001,208.39999999999998
2020-10-28,110.00000000000003,524.4000000000001,692.9999999999999,222.9
2020-10-29,80.09999999999998,447.50000000000006,570.1000000000001,201.45000000000002
2020-10-30,45.9,336.6,407.09999999999997,148.99999999999997
2020-10-31,61.0,335.8,429.49999999999994,251.90000000000003
