MeasurementDateGMT,Hackney - Old Street: Nitric Oxide (ug/m3),Hackney - Old Street: Nitrogen Dioxide (ug/m3),Hackney - Old Street: Oxides of Nitrogen (ug/m3),Hackney - Old Street: Ozone (ug/m3),Hackney - Old Street: PM10 Particulate (ug/m3)
2019-07-06,242.20000000000002,529.0,900.4000000000002,797.7999999999998,292.6
2019-07-07,190.7,538.9,831.1999999999999,958.5000000000001,365.8
2019-07-08,386.4,891.1,1483.7,1137.6000000000001,514.5
2019-07-09,506.3999999999999,1171.5,1948.3,1064.8000000000002,508.7
2019-07-10,748.0000000000001,1443.6,2590.7999999999997,858.4000000000001,565.4
2019-07-11,984.5,1422.7,2932.2,726.4000000000001,470.35
2019-07-12,730.9000000000001,935.6,2056.2,872.3999999999999,331.6
2019-07-13,251.49999999999997,487.79999999999995,872.9999999999999,1036.3999999999999,315.40000000000003
2019-07-14,141.8,404.00000000000006,621.6999999999998,1051.1000000000001,249.6
2019-07-15,258.3999999999999,521.6,917.8,995.9999999999998,299.69999999999993
2019-07-16,717.3,1418.7999999999997,2518.7,1042.3000000000002,542.9
2019-07-17,539.0000000000001,1390.4999999999995,2216.9000000000005,1202.8000000000004,547.8
2019-07-18,1004.5999999999999,1222.7999999999997,2763.3,556.2,432.9
2019-07-19,584.5,873.8000000000002,1769.9999999999998,439.0999999999999,404.29999999999995
2019-07-20,638.5,982.1,1960.6,569.1999999999999,280.2
2019-07-21,533.9,854.7,1673.2999999999995,692.6999999999999,302.29999999999995
2019-07-22,691.8,809.6999999999999,1870.6,533.7,417.70000000000005
2019-07-23,388.19999999999993,1101.8999999999999,1697.1999999999998,1419.1000000000001,665.0
2019-07-24,659.5,1566.1999999999998,2577.9,1032.6000000000001,610.8
2019-07-25,351.8999999999999,1492.2,2031.5000000000005,1608.7000000000003,874.4499999999999
2019-07-26,1193.1000000000001,1353.5,3183.0999999999995,362.0,605.6000000000001
2019-07-27,1216.3999999999996,1316.0999999999997,3181.2999999999993,322.40000000000003,293.9
2019-07-28,1060.0999999999997,1262.1,2887.4999999999995,355.5,322.29999999999995
