MeasurementDateGMT,City of London - The Aldgate School: Nitric Oxide (ug/m3),City of London - The Aldgate School: Nitrogen Dioxide (ug/m3),City of London - The Aldgate School: Oxides of Nitrogen (ug/m3),City of London - The Aldgate School: PM10 Particulate (ug/m3),City of London - The Aldgate School: PM2.5 Particulate (ug/m3)
2020-06-03,49.99999999999999,505.69999999999993,582.0999999999998,514.0,326.0
2020-06-04,44.199999999999996,295.90000000000003,363.4,257.0,164.0
2020-06-05,42.59999999999999,355.09999999999997,420.2999999999999,180.0,151.0
2020-06-06,25.000000000000004,329.09999999999997,367.6000000000001,190.0,152.0
2020-06-07,35.3,341.7,395.9,167.0,212.11764705882354
2020-06-08,46.5,260.0,331.2,317.0,196.6153846153846
2020-06-09,39.400000000000006,379.0999999999999,439.4000000000001,314.0,178.37104072398193
2020-06-10,26.0,410.5,449.9,380.0,160.1266968325792
2020-06-11,41.09999999999999,327.20000000000005,389.80000000000007,433.0,141.88235294117646
2020-06-12,40.900000000000006,523.3,586.2,559.0,123.63800904977379
2020-06-13,22.5,475.1,509.39999999999986,292.0,105.39366515837105
2020-06-14,12.600000000000001,323.7000000000001,342.8000000000002,343.0,87.14932126696833
2020-06-15,43.000000000000014,490.9000000000001,556.8,252.0,68.90497737556561
2020-06-16,20.799999999999997,361.79999999999995,393.4,222.0,77.80090497737557
2020-06-17,84.5,712.7,842.5,328.0,243.0
2020-06-18,34.00000000000001,418.2999999999999,470.10000000000014,153.0,144.0
2020-06-19,21.0,277.1,309.6,251.0,175.0
2020-06-20,22.2,247.6,281.4,200.0,169.0
2020-06-21,19.8,261.4,291.59999999999997,229.0,165.0
2020-06-22,32.40000000000001,308.40000000000003,358.19999999999993,412.0,276.0
2020-06-23,32.0,503.2,551.7,458.0,299.0
2020-06-24,86.10000000000002,891.0000000000003,1023.3000000000001,645.0,445.0
2020-06-25,56.5,792.4000000000001,878.7,646.0,434.0
2020-06-26,26.400000000000002,536.4,576.9,501.0,381.0
2020-06-27,10.8,163.1,179.3,290.0,169.0
2020-06-28,9.699999999999998,153.40000000000003,168.1,216.0,158.0
2020-06-29,28.400000000000006,247.70000000000002,291.70000000000005,298.0,174.0
2020-06-30,50.4,369.09999999999997,446.00000000000006,205.0,145.0
2020-07-01,53.5,351.84999999999997,433.70000000000005,186.0,153.0
2020-07-02,59.300000000000004,458.2,549.5999999999999,180.0,147.0
2020-07-03,40.00000000000001,304.7,365.90000000000003,281.0,202.0
2020-07-04,22.400000000000002,194.2,228.4,188.0,150.0
2020-07-05,17.7,127.89999999999998,155.29999999999998,268.0,167.0
2020-07-06,56.5,331.2,418.2,302.0,199.0
2020-07-07,55.399999999999984,495.20000000000016,580.5000000000001,282.0,227.0
2020-07-08,98.39999999999999,413.4,563.9000000000001,206.0,144.0
2020-07-09,85.30000000000001,298.2,429.70000000000005,196.0,138.0
2020-07-10,104.39999999999999,415.3000000000001,575.2,201.0,127.0
2020-07-11,66.8,362.7,465.40000000000003,227.0,201.0
2020-07-12,63.50000000000001,520.4999999999999,618.1000000000003,282.0,324.0
2020-07-13,50.8,402.8,480.1,248.0,178.0
2020-07-14,84.50000000000001,335.2,464.8,237.0,181.0
2020-07-15,76.90000000000002,389.3000000000001,506.5999999999999,180.0,152.0
2020-07-16,109.19999999999999,393.79999999999995,561.0000000000001,220.0,152.0
2020-07-17,75.50000000000001,429.5,545.4,366.0,257.0
2020-07-18,36.3,247.80000000000004,303.40000000000003,248.0,181.0
2020-07-19,30.10000000000001,196.2,241.90000000000003,195.0,153.0
2020-07-20,65.65,227.80000000000004,327.95,295.0,198.0
2020-07-21,70.00000000000001,356.2,463.6,265.0,210.0
2020-07-22,18.499999999999993,280.3,308.40000000000003,337.0,251.0
2020-07-23,22.4,344.3,378.4,308.0,218.0
2020-07-24,54.89999999999999,306.9,390.99999999999994,235.0,181.0
2020-07-25,15.999999999999998,179.0,203.3,217.0,187.0
2020-07-26,15.600000000000001,149.1,172.9,277.0,169.0
2020-07-27,23.4,186.1,221.99999999999997,359.0,221.0
2020-07-28,48.0,268.3,341.6000000000001,262.0,199.0
2020-07-29,68.5,409.19999999999993,514.5,249.0,215.0
2020-07-30,59.600000000000016,600.0000000000001,691.5999999999999,300.0,247.0
2020-07-31,63.6,689.3000000000001,786.9999999999999,704.0,427.0
2020-08-01,19.4,195.2,225.09999999999997,250.0,178.0
2020-08-02,14.899999999999999,181.9,204.60000000000002,177.0,184.0
2020-08-03,47.30000000000001,271.20000000000005,343.7,234.0,223.4074074074074
2020-08-04,30.2,302.1,347.8,269.0,237.62962962962965
2020-08-05,21.099999999999998,200.6,232.8,264.0,251.85185185185182
2020-08-06,32.8,352.3,402.7,304.0,230.11111111111111
2020-08-07,183.8,1152.6000000000001,1434.1,663.0,399.0
2020-08-08,95.59999999999997,839.7999999999998,986.3000000000001,736.0,480.0
2020-08-09,7.299999999999998,252.4,263.5,684.0,517.0
2020-08-10,31.800000000000004,524.4000000000001,573.3,887.0,579.0
2020-08-11,30.799999999999997,849.1999999999999,896.5,1082.0,719.0
2020-08-12,21.400000000000002,812.0000000000001,844.2000000000002,1296.0,865.0
2020-08-13,25.3,357.29999999999995,396.5000000000001,695.0,569.0
2020-08-14,38.50000000000001,308.09999999999997,367.49999999999994,421.0,350.44827586206895
2020-08-15,39.90000000000001,464.5,525.3999999999999,644.0,436.55172413793105
2020-08-16,17.599999999999994,439.19999999999993,466.50000000000006,787.0,376.9655172413793
2020-08-17,28.599999999999994,436.09999999999997,479.6,300.0,317.3793103448276
2020-08-18,25.900000000000006,229.8,269.69999999999993,268.0,197.65517241379308
2020-08-19,72.2,362.80000000000007,473.49999999999994,298.0,167.0
2020-08-20,26.85000000000001,256.95000000000005,298.3,652.0,264.0
2020-08-21,12.299999999999999,127.39999999999998,145.9,449.0,248.0
2020-08-22,10.5,124.8,141.0,356.0,238.0
2020-08-23,19.599999999999998,175.70000000000002,205.8,248.0,187.0
2020-08-24,39.4,292.49999999999994,352.8,250.0,208.0
2020-08-25,15.099999999999998,110.10000000000001,133.5,275.0,179.0
2020-08-26,32.300000000000004,277.7,327.1,266.0,193.0
2020-08-27,43.3,402.3999999999999,468.59999999999997,376.0,244.0
2020-08-28,63.699999999999996,315.90000000000003,413.6,234.0,167.0
2020-08-29,46.60000000000001,226.0,297.29999999999995,359.0,200.0
2020-08-30,24.2,125.19999999999999,162.3,421.0,206.0
2020-08-31,66.60000000000002,415.9,518.1,296.0,282.0
2020-09-01,257.4,757.5999999999999,1151.9,410.0,328.0
2020-09-02,52.04999999999998,558.3000000000001,637.8000000000003,541.0578512396695,308.0
