MeasurementDateGMT,Enfield - Bush Hill Park: Nitric Oxide (ug/m3),Enfield - Bush Hill Park: Nitrogen Dioxide (ug/m3),Enfield - Bush Hill Park: Oxides of Nitrogen (ug/m3)
2019-01-22,619.3653846153846,1146.8807692307691,2096.2692307692305
2019-01-23,416.70000000000005,824.8999999999999,1463.9999999999998
2019-01-24,1582.7999999999997,1395.5,3822.2999999999997
2019-01-25,277.59999999999997,876.0,1301.6
2019-01-26,60.199999999999996,457.30000000000007,550.0000000000001
2019-01-27,31.1,176.10000000000002,223.89999999999998
2019-01-28,151.8,697.9000000000001,930.6
2019-01-29,756.1999999999999,1265.2000000000003,2424.4
2019-01-30,411.80000000000007,903.5,1534.8000000000002
2019-01-31,1751.5999999999995,1158.3,3844.1999999999994
2019-02-01,91.0,588.1,728.0000000000001
2019-02-02,56.900000000000006,297.5,385.0
2019-02-03,164.2,747.5999999999999,999.4
2019-02-04,270.3,781.0,1196.1999999999998
2019-02-05,597.1,947.9000000000001,1863.4
2019-02-06,268.3999999999999,912.9999999999999,1324.4500000000003
2019-02-07,46.199999999999996,355.79999999999995,426.6000000000001
2019-02-08,57.0,330.90000000000003,418.30000000000007
2019-02-09,41.1,238.6,301.5
2019-02-10,33.5,314.8999999999999,366.1
2019-02-11,382.2,866.7,1452.9
2019-02-12,418.3,1020.3000000000001,1661.2
2019-02-13,223.4,956.1999999999999,1298.8000000000002
2019-02-14,1382.0,1397.8000000000002,3517.1
2019-02-15,1691.0999999999997,1465.6000000000001,4058.4
2019-02-16,342.79999999999995,1046.6999999999998,1572.9999999999995
2019-02-17,145.5,769.1,992.0999999999999
2019-02-18,106.0,784.8,947.0
2019-02-19,148.79999999999998,633.4,861.2
2019-02-20,78.5,468.80000000000007,588.6
2019-02-21,126.9,700.8,895.4
2019-02-22,357.6,1068.8999999999999,1617.3
2019-02-23,660.2,1050.1,2061.6999999999994
2019-02-24,828.7000000000002,1049.2000000000003,2320.3
2019-02-25,1116.8000000000002,1375.0,3087.4000000000005
2019-02-26,1206.2,1561.6,3411.2
2019-02-27,1606.5,1593.3,4056.4
2019-02-28,357.45,702.7000000000003,1250.8
2019-03-01,152.20000000000002,700.8,934.1999999999998
2019-03-02,56.10000000000001,376.9,463.3
2019-03-03,36.800000000000004,206.19999999999996,261.80000000000007
2019-03-04,43.800000000000004,252.39999999999998,319.59999999999997
2019-03-05,92.99999999999999,488.8,631.3
2019-03-06,88.60000000000002,422.7,559.1
2019-03-07,33.6,199.5,251.39999999999998
2019-03-08,93.3,470.3999999999999,613.6
2019-03-09,32.49999999999999,235.6,285.5
2019-03-10,43.04999999999998,247.60000000000005,313.85
