MeasurementDateGMT,Camden - Bloomsbury: Nitric Oxide (ug/m3),Camden - Bloomsbury: Nitrogen Dioxide (ug/m3),Camden - Bloomsbury: Oxides of Nitrogen (ug/m3),Camden - Bloomsbury: Ozone (ug/m3),Camden - Bloomsbury: PM10 Particulate (ug/m3),Camden - Bloomsbury: PM2.5 Particulate (ug/m3),Camden - Bloomsbury: Sulphur Dioxide (ug/m3)
2019-01-18,469.7,1261.4999999999998,1981.7000000000003,429.50000000000006,432.30000000000007,248.79999999999998,23.73570159857904
2019-01-19,326.5,910.7999999999998,1411.5999999999995,551.4,517.6,330.20000000000005,25.986500888099467
2019-01-20,591.3,1225.1,2131.7999999999993,168.7,810.7,659.5,28.23730017761989
2019-01-21,894.8,1193.2500000000002,2564.95,303.3,1068.6875000000002,965.9146666666667,30.48809946714032
2019-01-22,299.20000000000005,1153.8000000000002,1613.0000000000002,662.0000000000002,921.5423076923078,925.536,32.738898756660745
2019-01-23,715.4,1276.2999999999997,2373.1,433.9000000000001,722.7115384615385,807.264,34.98969804618117
2019-01-24,1359.5,1659.9999999999995,3743.899999999999,43.9,523.8807692307691,667.9853333333334,37.240497335701605
2019-01-25,479.00000000000006,1324.7999999999997,2059.2,169.0,348.2278846153846,385.1,39.49129662522203
2019-01-26,43.699999999999996,569.3,636.9,1117.6,232.29999999999995,146.2,41.74209591474245
2019-01-27,192.3,620.5,915.5000000000001,1118.5,240.60000000000002,103.89999999999999,43.99289520426288
2019-01-28,288.6818181818182,977.4424242424243,1419.5787878787878,669.0999999999999,158.76852791878173,129.54285714285714,46.243694493783295
2019-01-29,208.3181818181818,1017.2575757575758,1338.0212121212119,698.9000000000001,142.12994923857866,208.45714285714288,48.494493783303724
2019-01-30,715.4499999999999,1402.6999999999996,2499.5,353.50000000000006,154.702538071066,220.70000000000002,50.74529307282415
2019-01-31,1712.0000000000002,1518.3999999999994,4143.400000000001,272.5,167.27512690355334,514.2,52.99609236234458
2019-02-01,455.09999999999997,1011.1,1708.7999999999997,593.9,179.8477157360406,315.50000000000006,35.84209591474246
2019-02-02,337.7,905.2000000000002,1422.8999999999999,584.4,192.4203045685279,289.3,13.799999999999999
2019-02-03,222.2,896.3,1237.1,627.6999999999999,204.99289340101524,220.8,24.899999999999995
2019-02-04,155.3,798.2000000000002,1036.5,734.7999999999998,217.56548223350254,182.4,14.5
2019-02-05,184.70000000000002,846.1,1129.0000000000002,512.1,241.99746192893403,270.20000000000005,13.100000000000001
2019-02-06,117.50000000000001,819.9000000000001,1000.4000000000003,840.99,262.7,175.10000000000002,16.1
2019-02-07,75.80000000000001,539.6,655.8000000000001,1060.01,251.99999999999994,125.10000000000001,6.400000000000001
2019-02-08,37.4,420.6,478.00000000000006,1343.1999999999998,275.65,126.6,12.4
2019-02-09,40.89999999999999,364.1000000000001,427.2,1462.8,296.19999999999993,149.0,12.699999999999998
2019-02-10,195.29999999999998,832.5999999999998,1131.9,957.5999999999999,99.2,77.1,10.500000000000002
2019-02-11,299.59999999999997,1016.9000000000001,1476.3000000000002,613.2999999999998,225.14999999999998,148.0,18.5
2019-02-12,151.70000000000002,905.7000000000002,1137.7000000000003,692.0,352.8,214.6,24.000000000000004
2019-02-13,113.59999999999998,793.4999999999999,967.5000000000002,762.7,519.8,322.3999999999999,14.0
2019-02-14,544.5,1268.3,2103.0,264.79999999999995,754.4999999999999,538.7,53.8
2019-02-15,862.4999999999999,1364.3000000000002,2687.1,332.8999999999999,986.9999999999999,743.4,65.6
2019-02-16,122.8,975.6,1163.8999999999999,556.2,824.4,583.7,18.400000000000002
2019-02-17,98.1,739.4,889.6999999999999,925.8000000000001,758.3,485.90000000000003,22.099999999999998
2019-02-18,93.7,789.5,933.0,944.8000000000001,410.1,212.59999999999997,10.3
2019-02-19,93.40000000000002,687.9000000000001,831.2000000000002,1049.3,392.0,172.10000000000002,21.1
2019-02-20,67.8,582.9999999999999,686.5,1081.1999999999998,416.8,230.29999999999998,19.699999999999996
2019-02-21,72.2,699.4,810.1999999999998,973.1000000000001,551.5,333.0,17.4
2019-02-22,1012.5,1361.9,2914.3999999999996,305.7,935.8000000000001,672.4,69.89999999999999
2019-02-23,669.3,1094.8999999999999,2121.3,277.1000000000001,981.0000000000001,772.1,38.900000000000006
