MeasurementDateGMT,Redbridge - Ley Street: Nitric Oxide (ug/m3),Redbridge - Ley Street: Nitrogen Dioxide (ug/m3),Redbridge - Ley Street: Oxides of Nitrogen (ug/m3),Redbridge - Ley Street: Ozone (ug/m3),Redbridge - Ley Street: PM10 Particulate (ug/m3),Redbridge - Ley Street: PM2.5 Particulate (ug/m3)
2020-10-06,385.4000000000001,421.9000000000001,1013.4000000000002,859.8,234.0,193.0
2020-10-07,497.70000000000005,651.1999999999999,1414.5000000000002,706.6,307.0,209.0
2020-10-08,282.79999999999995,470.0000000000001,903.9000000000001,710.4000000000001,240.0,227.0
2020-10-09,845.8000000000002,789.9,2087.1,399.8,303.0,281.0
2020-10-10,40.300000000000004,413.70000000000005,475.59999999999997,772.7,227.0,178.0
2020-10-11,64.3,355.1,453.90000000000003,688.2000000000002,224.0,206.0
2020-10-12,364.3,724.9000000000001,1283.3000000000002,385.79999999999995,262.0,286.0
2020-10-13,1077.3999999999996,699.1000000000001,2351.6,489.69999999999993,262.0,269.0
2020-10-14,625.4999999999999,542.3000000000001,1501.8999999999996,806.3000000000002,332.0,254.0
2020-10-15,808.1,660.4,1899.5000000000002,774.0000000000001,229.0,205.0
2020-10-16,813.7,780.2999999999998,2027.9000000000005,611.0000000000001,245.0,213.0
2020-10-17,30.199999999999996,375.8,422.3,939.6,296.0,234.0
2020-10-18,175.7,680.7,949.4,444.09999999999997,430.0,441.0
2020-10-19,160.49999999999994,560.5999999999999,806.3000000000002,937.7000000000002,433.0,351.0
2020-10-20,57.300000000000004,336.0,423.8999999999999,1052.3999999999999,579.0,353.0
2020-10-21,197.6,539.6,842.2000000000003,709.4999999999999,379.0,307.0
2020-10-22,236.8,591.0999999999999,954.0,970.0000000000001,427.0,232.0
2020-10-23,190.7,603.3,895.4,782.4,392.0,241.0
2020-10-24,25.6,267.40000000000003,306.7,1266.1000000000001,314.05791505791507,221.0
2020-10-25,44.1,383.3,450.8999999999999,1082.3,138.76447876447875,181.0
2020-10-26,102.19999999999999,499.00000000000006,655.8,842.0999999999998,172.12355212355212,223.0
2020-10-27,81.3,460.99999999999994,585.3,863.6,205.48262548262548,229.0
2020-10-28,52.00000000000001,350.69999999999993,430.30000000000007,1132.2,238.84169884169884,256.0
2020-10-29,48.50000000000001,319.1,393.3,1148.6000000000001,272.20077220077224,238.0
2020-10-30,52.80000000000001,302.29999999999995,382.9,1243.5,305.55984555984554,217.0
2020-10-31,26.1,240.60000000000002,280.59999999999997,1258.1,338.9189189189189,275.0
