MeasurementDateGMT,Croydon - Purley Way A23: Nitric Oxide (ug/m3),Croydon - Purley Way A23: Nitrogen Dioxide (ug/m3),Croydon - Purley Way A23: Oxides of Nitrogen (ug/m3)
2019-09-24,318.6,366.70000000000005,855.1500000000002
2019-09-25,384.8,357.6,947.3999999999999
2019-09-26,302.61739130434785,322.89565217391305,785.6652173913044
2019-09-27,342.28260869565213,323.504347826087,848.0347826086959
2019-09-28,241.90000000000006,272.3,643.3
2019-09-29,153.4,195.9,430.4
2019-09-30,610.3000000000001,562.3000000000001,1498.1
2019-10-01,542.4000000000001,602.2000000000002,1433.4
2019-10-02,907.6,886.2999999999998,2278.0000000000005
2019-10-03,612.7,603.8000000000001,1543.1
2019-10-04,725.8999999999999,630.5,1743.8000000000002
2019-10-05,396.4,619.1999999999999,1227.3999999999996
2019-10-06,217.0,382.6,715.2000000000002
2019-10-07,719.0000000000001,587.0,1689.1999999999996
2019-10-08,446.2,427.50000000000006,1111.6
2019-10-09,462.8,453.59999999999985,1163.7000000000003
2019-10-10,359.9,322.3,874.6000000000001
2019-10-11,207.8,263.79999999999995,582.4
2019-10-12,409.6,650.5999999999998,1278.6
2019-10-13,199.5,379.1,684.9
2019-10-14,440.59999999999997,582.1999999999999,1257.5
2019-10-15,667.2000000000002,675.9,1698.7
2019-10-16,606.0000000000001,704.4000000000001,1633.9000000000003
2019-10-17,521.5000000000001,730.4,1529.8000000000002
2019-10-18,351.2000000000001,434.5999999999999,973.0999999999999
2019-10-19,432.19999999999993,677.6,1340.7
2019-10-20,575.8000000000001,687.9000000000001,1570.7999999999997
2019-10-21,913.4000000000002,1028.6000000000001,2429.0000000000005
2019-10-22,1055.25,845.8,2463.8
2019-10-23,988.5,787.1,2302.2
2019-10-24,1274.6000000000004,878.2000000000002,2832.9999999999995
2019-10-25,535.6,505.7,1327.4
2019-10-26,219.10000000000002,360.09999999999997,695.6999999999999
2019-10-27,934.6,824.3,2257.2
2019-10-28,1172.8,893.5999999999999,2692.3
2019-10-29,604.5,965.8000000000001,1892.7999999999997
2019-10-30,487.5,745.9000000000001,1493.6999999999996
